geoid,cr_geoid,name,original_id,pop100,hu100,state_place_fips
110010073041002,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,71,41,1150000
110010073041003,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,82,44,1150000
110010073041004,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,108,66,1150000
110010073041005,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,66,26,1150000
110010073041006,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,115,51,1150000
110010073042000,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,71,43,1150000
110010073042001,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,43,20,1150000
110010073042002,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,33,13,1150000
110010073042003,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,287,129,1150000
110010073042004,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,59,24,1150000
110010073042005,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,461,263,1150000
110010097001000,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,357,186,1150000
110010097001001,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,361,177,1150000
110010097002000,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,885,337,1150000
110010097002001,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,122,46,1150000
110010097002002,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,169,61,1150000
110010097002003,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,231,102,1150000
110010097002004,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,110,54,1150000
110010097003000,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,0,0,1150000
110010097003001,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,415,160,1150000
110010097003002,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,0,0,1150000
110010097003003,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,67,22,1150000
110010097003004,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,115,38,1150000
110010097003005,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,133,37,1150000
110010097003006,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,134,109,1150000
110010097003007,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,89,26,1150000
110010097003008,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,0,0,1150000
110010098011000,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,0,0,1150000
110010098011001,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,512,324,1150000
110010098011002,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,521,225,1150000
110010098011003,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,107,46,1150000
110010098011004,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,8,1,1150000
110010098011005,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,217,108,1150000
110010098011006,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,249,119,1150000
110010098011007,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,234,75,1150000
110010098021000,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,474,163,1150000
110010098021001,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,440,153,1150000
110010098022000,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,352,166,1150000
110010098022001,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,187,90,1150000
110010098022002,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,143,79,1150000
110010098022003,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,468,229,1150000
110010098031000,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,251,101,1150000
110010098031001,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,67,26,1150000
110010098031002,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,73,23,1150000
110010098031003,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,173,91,1150000
110010098031004,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,121,48,1150000
110010098031005,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,253,97,1150000
110010098032000,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,276,137,1150000
110010098032001,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,32,17,1150000
110010098032002,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,166,63,1150000
110010098032003,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,267,123,1150000
110010098032004,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,89,52,1150000
110010098033000,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,79,42,1150000
110010098033001,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,328,206,1150000
110010098033002,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,229,138,1150000
110010098033003,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,168,76,1150000
110010098033004,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,132,69,1150000
110010098033005,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,264,171,1150000
110010098041000,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,1246,612,1150000
